0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , 5
128 , 22.9068 , 43.1729 , South America , Jan , 28 , 2015 , 92
129 , 22.9068 , 43.1729 , South America , Jan , 29 , 2015 , 76
130 , 22.9068 , 43.1729 , South America , Jan , 30 , 2015 , 93
131 , 22.9068 , 43.1729 , South America , Jan , 31 , 2015 , 80
132 , 22.9068 , 43.1729 , South America , Feb , 1 , 2015 , 82
133 , 22.9068 , 43.1729 , South America , Feb , 2 , 2015 , 71
134 , 22.9068 , 43.1729 , South America , Feb , 3 , 2015 , 97
135 , 22.9068 , 43.1729 , South America , Feb , 4 , 2015 , 76
136 , 22.9068 , 43.1729 , South America , Feb , 5 , 2015 , 72
137 , 22.9068 , 43.1729 , South America , Feb , 6 , 2015 , 96
138 , 22.9068 , 43.1729 , South America , Feb , 7 , 2015 , 80
139 , 22.9068 , 43.1729 , South America , Feb , 8 , 2015 , 90
140 , 22.9068 , 43.1729 , South America , Feb , 9 , 2015 , 85
141 , 22.9068 , 43.1729 , South America , Feb , 10 , 2015 , 72
142 , 22.9068 , 43.1729 , South America , Feb , 11 , 2015 , 80
143 , 22.9068 , 43.1729 , South America , Feb , 12 , 2015 , 88
144 , 22.9068 , 43.1729 , South America , Feb , 13 , 2015 , 77
145 , 22.9068 , 43.1729 , South America , Feb , 14 , 2015 , 73
146 , 22.9068 , 43.1729 , South America , Feb , 15 , 2015 , 93
147 , 22.9068 , 43.1729 , South America , Feb , 16 , 2015 , 71
148 , 22.9068 , 43.1729 , South America , Feb , 17 , 2015 , 73
149 , 22.9068 , 43.1729 , South America , Feb , 18 , 2015 , 88
150 , 22.9068 , 43.1729 , South America , Feb , 19 , 2015 , 73
151 , 51.5074 , 0.1278 , Europe , Jan , 1 , 2014 , 83
152 , 51.5074 , 0.1278 , Europe , Jan , 2 , 2014 , 97
153 , 51.5074 , 0.1278 , Europe , Jan , 3 , 2014 , 71
154 , 51.5074 , 0.1278 , Europe , Jan , 4 , 2014 , 80
155 , 51.5074 , 0.1278 , Europe , Jan , 5 , 2014 , 79
156 , 51.5074 , 0.1278 , Europe , Jan , 6 , 2014 , 82
157 , 51.5074 , 0.1278 , Europe , Jan , 7 , 2014 , 91
158 , 51.5074 , 0.1278 , Europe , Jan , 8 , 2014 , 95
159 , 51.5074 , 0.1278 , Europe , Jan , 9 , 2014 , 89
160 , 51.5074 , 0.1278 , Europe , Jan , 10 , 2014 , 83
161 , 51.5074 , 0.1278 , Europe , Jan , 11 , 2014 , 83
162 , 51.5074 , 0.1278 , Europe , Jan , 12 , 2014 , 76
163 , 51.5074 , 0.1278 , Europe , Jan , 13 , 2014 , 90
164 , 51.5074 , 0.1278 , Europe , Jan , 14 , 2014 , 76
165 , 51.5074 , 0.1278 , Europe , Jan , 15 , 2014 , 70
166 , 51.5074 , 0.1278 , Europe , Jan , 16 , 2014 , 72
167 , 51.5074 , 0.1278 , Europe , Jan , 17 , 2014 , 85
168 , 51.5074 , 0.1278 , Europe , Jan , 18 , 2014 , 80
169 , 51.5074 , 0.1278 , Europe , Jan , 19 , 2014 , 89
170 , 51.5074 , 0.1278 , Europe , Jan , 20 , 2014 , 71
171 , 51.5074 , 0.1278 , Europe , Jan , 21 , 2014 , 88
172 , 51.5074 , 0.1278 , Europe , Jan , 22 , 2014 , 98
173 , 51.5074 , 0.1278 , Europe , Jan , 23 , 2014 , 82
174 , 51.5074 , 0.1278 , Europe , Jan , 24 , 2014 , 90
175 , 51.5074 , 0.1278 , Europe , Jan , 25 , 2014 , 93
176 , 51.5074 , 0.1278 , Europe , Jan , 26 , 2014 , 83
177 , 51.5074 , 0.1278 , Europe , Jan , 27 , 2014 , 73
178 , 51.5074 , 0.1278 , Europe , Jan , 28 , 2014 , 96
179 , 51.5074 , 0.1278 , Europe , Jan , 29 , 2014 , 79
180 , 51.5074 , 0.1278 , Europe , Jan , 30 , 2014 , 70
181 , 51.5074 , 0.1278 , Europe , Jan , 31 , 2014 , 84
182 , 51.5074 , 0.1278 , Europe , Feb , 1 , 2014 , 76
183 , 51.5074 , 0.1278 , Europe , Feb , 2 , 2014 , 87
184 , 51.5074 , 0.1278 , Europe , Feb , 3 , 2014 , 98
185 , 51.5074 , 0.1278 , Europe , Feb , 4 , 2014 , 98
186 , 51.5074 , 0.1278 , Europe , Feb , 5 , 2014 , 99
187 , 51.5074 , 0.1278 , Europe , Feb , 6 , 2014 , 75
188 , 51.5074 , 0.1278 , Europe , Feb , 7 , 2014 , 89
189 , 51.5074 , 0.1278 , Europe , Feb , 8 , 2014 , 89
190 , 51.5074 , 0.1278 , Europe , Feb , 9 , 2014 , 81
191 , 51.5074 , 0.1278 , Europe , Feb , 10 , 2014 , 88
192 , 51.5074 , 0.1278 , Europe , Feb , 11 , 2014 , 70
193 , 51.5074 , 0.1278 , Europe , Feb , 12 , 2014 , 72
194 , 51.5074 , 0.1278 , Europe , Feb , 13 , 2014 , 98
195 , 51.5074 , 0.1278 , Europe , Feb , 14 , 2014 , 84
196 , 51.5074 , 0.1278 , Europe , Feb , 15 , 2014 , 73
197 , 51.5074 , 0.1278 , Europe , Feb , 16 , 2014 , 98
198 , 51.5074 , 0.1278 , Europe , Feb , 17 , 2014 , 91
199 , 51.5074 , 0.1278 , Europe , Feb , 18 , 2014 , 77
200 , 51.5074 , 0.1278 , Europe , Feb , 19 , 2014 , 93
201 , 51.5074 , 0.1278 , Europe , Feb , 20 , 2014 , 81
202 , 51.5074 , 0.1278 , Europe , Feb , 21 , 2014 , 72
203 , 51.5074 , 0.1278 , Europe , Feb , 22 , 2014 , 90
204 , 51.5074 , 0.1278 , Europe , Feb , 23 , 2014 , 86
205 , 51.5074 , 0.1278 , Europe , Feb , 24 , 2014 , 75
206 , 51.5074 , 0.1278 , Europe , Feb , 25 , 2014 , 84
207 , 51.5074 , 0.1278 , Europe , Feb , 26 , 2014 , 75
208 , 51.5074 , 0.1278 , Europe , Feb , 27 , 2014 , 97
209 , 51.5074 , 0.1278 , Europe , Feb , 28 , 2014 , 70
210 , 51.5074 , 0.1278 , Europe , Feb , 29 , 2014 , 88
211 , 51.5074 , 0.1278 , Europe , Feb , 30 , 2014 , 71
212 , 51.5074 , 0.1278 , Europe , Feb , 31 , 2014 , 100
213 , 51.5074 , 0.1278 , Europe , Feb , 32 , 2014 , 96
214 , 51.5074 , 0.1278 , Europe , Feb , 33 , 2014 , 76
215 , 51.5074 , 0.1278 , Europe , Feb , 34 , 2014 , 92
216 , 51.5074 , 0.1278 , Europe , Feb , 35 , 2014 , 86
217 , 51.5074 , 0.1278 , Europe , Feb , 36 , 2014 , 75
218 , 51.5074 , 0.1278 , Europe , Feb , 37 , 2014 , 82
219 , 51.5074 , 0.1278 , Europe , Feb , 38 , 2014 , 74
220 , 51.5074 , 0.1278 , Europe , Mar , 1 , 2014 , 86
221 , 51.5074 , 0.1278 , Europe , Mar , 2 , 2014 , 82
222 , 51.5074 , 0.1278 , Europe , Mar , 3 , 2014 , 82
223 , 51.5074 , 0.1278 , Europe , Mar , 4 , 2014 , 96
224 , 51.5074 , 0.1278 , Europe , Mar , 5 , 2014 , 90
225 , 51.5074 , 0.1278 , Europe , Mar , 6 , 2014 , 81
226 , 51.5074 , 0.1278 , Europe , Mar , 7 , 2014 , 98
227 , 51.5074 , 0.1278 , Europe , Mar , 8 , 2014 , 73
228 , 51.5074 , 0.1278 , Europe , Mar , 9 , 2014 , 79
229 , 51.5074 , 0.1278 , Europe , Mar , 10 , 2014 , 99
230 , 51.5074 , 0.1278 , Europe , Mar , 11 , 2014 , 70
231 , 51.5074 , 0.1278 , Europe , Mar , 12 , 2014 , 77
232 , 51.5074 , 0.1278 , Europe , Mar , 13 , 2014 , 92
233 , 51.5074 , 0.1278 , Europe , Mar , 14 , 2014 , 86
234 , 51.5074 , 0.1278 , Europe , Mar , 15 , 2014 , 86
235 , 51.5074 , 0.1278 , Europe , Mar , 16 , 2014 , 71
236 , 51.5074 , 0.1278 , Europe , Mar , 17 , 2014 , 92
237 , 51.5074 , 0.1278 , Europe , Mar , 18 , 2014 , 97
238 , 51.5074 , 0.1278 , Europe , Mar , 19 , 2014 , 95
239 , 51.5074 , 0.1278 , Europe , Mar , 20 , 2014 , 85
240 , 51.5074 , 0.1278 , Europe , Mar , 21 , 2014 , 73
241 , 51.5074 , 0.1278 , Europe , Mar , 22 , 2014 , 94
242 , 51.5074 , 0.1278 , Europe , Mar , 23 , 2014 , 70
243 , 51.5074 , 0.1278 , Europe , Mar , 24 , 2014 , 79
244 , 51.5074 , 0.1278 , Europe , Mar , 25 , 2014 , 85
245 , 51.5074 , 0.1278 , Europe , Mar , 26 , 2014 , 74
246 , 51.5074 , 0.1278 , Europe , Mar , 27 , 2014 , 71
247 , 51.5074 , 0.1278 , Europe , Mar , 28 , 2014 , 97
248 , 51.5074 , 0.1278 , Europe , Mar , 29 , 2014 , 94
249 , 51.5074 , 0.1278 , Europe , Mar , 30 , 2014 , 83
250 , 51.5074 , 0.1278 , Europe , Mar , 31 , 2014 , 80
251 , 51.5074 , 0.1278 , Europe , Apr , 1 , 2014 , 71
