0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , 26
123 , 22.9068 , 43.1729 , South America , Jan , 23 , 2015 , 83
124 , 22.9068 , 43.1729 , South America , Jan , 24 , 2015 , 78
125 , 22.9068 , 43.1729 , South America , Jan , 25 , 2015 , 99
126 , 22.9068 , 43.1729 , South America , Jan , 26 , 2015 , 87
127 , 22.9068 , 43.1729 , South America , Jan , 27 , 2015 , 81
128 , 22.9068 , 43.1729 , South America , Jan , 28 , 2015 , 92
129 , 22.9068 , 43.1729 , South America , Jan , 29 , 2015 , 72
130 , 22.9068 , 43.1729 , South America , Jan , 30 , 2015 , 70
131 , 22.9068 , 43.1729 , South America , Jan , 31 , 2015 , 81
132 , 22.9068 , 43.1729 , South America , Feb , 1 , 2015 , 99
133 , 22.9068 , 43.1729 , South America , Feb , 2 , 2015 , 96
134 , 22.9068 , 43.1729 , South America , Feb , 3 , 2015 , 87
135 , 22.9068 , 43.1729 , South America , Feb , 4 , 2015 , 82
136 , 22.9068 , 43.1729 , South America , Feb , 5 , 2015 , 78
137 , 22.9068 , 43.1729 , South America , Feb , 6 , 2015 , 78
138 , 22.9068 , 43.1729 , South America , Feb , 7 , 2015 , 71
139 , 22.9068 , 43.1729 , South America , Feb , 8 , 2015 , 82
140 , 22.9068 , 43.1729 , South America , Feb , 9 , 2015 , 98
141 , 22.9068 , 43.1729 , South America , Feb , 10 , 2015 , 94
142 , 22.9068 , 43.1729 , South America , Feb , 11 , 2015 , 97
143 , 22.9068 , 43.1729 , South America , Feb , 12 , 2015 , 87
144 , 22.9068 , 43.1729 , South America , Feb , 13 , 2015 , 70
145 , 22.9068 , 43.1729 , South America , Feb , 14 , 2015 , 86
146 , 22.9068 , 43.1729 , South America , Feb , 15 , 2015 , 90
147 , 22.9068 , 43.1729 , South America , Feb , 16 , 2015 , 92
148 , 22.9068 , 43.1729 , South America , Feb , 17 , 2015 , 78
149 , 22.9068 , 43.1729 , South America , Feb , 18 , 2015 , 90
150 , 22.9068 , 43.1729 , South America , Feb , 19 , 2015 , 100
151 , 22.9068 , 43.1729 , South America , Feb , 20 , 2015 , 99
152 , 22.9068 , 43.1729 , South America , Feb , 21 , 2015 , 82
153 , 22.9068 , 43.1729 , South America , Feb , 22 , 2015 , 99
154 , 22.9068 , 43.1729 , South America , Feb , 23 , 2015 , 74
155 , 22.9068 , 43.1729 , South America , Feb , 24 , 2015 , 71
156 , 22.9068 , 43.1729 , South America , Feb , 25 , 2015 , 75
157 , 22.9068 , 43.1729 , South America , Feb , 26 , 2015 , 97
158 , 22.9068 , 43.1729 , South America , Feb , 27 , 2015 , 85
159 , 22.9068 , 43.1729 , South America , Feb , 28 , 2015 , 78
160 , 22.9068 , 43.1729 , South America , Feb , 29 , 2015 , 75
161 , 22.9068 , 43.1729 , South America , Feb , 30 , 2015 , 77
162 , 22.9068 , 43.1729 , South America , Feb , 31 , 2015 , 90
163 , 22.9068 , 43.1729 , South America , Feb , 32 , 2015 , 95
164 , 22.9068 , 43.1729 , South America , Feb , 33 , 2015 , 75
165 , 22.9068 , 43.1729 , South America , Feb , 34 , 2015 , 83
166 , 22.9068 , 43.1729 , South America , Feb , 35 , 2015 , 78
167 , 22.9068 , 43.1729 , South America , Feb , 36 , 2015 , 77
168 , 22.9068 , 43.1729 , South America , Feb , 37 , 2015 , 93
169 , 22.9068 , 43.1729 , South America , Feb , 38 , 2015 , 86
170 , 22.9068 , 43.1729 , South America , Mar , 1 , 2015 , 76
171 , 22.9068 , 43.1729 , South America , Mar , 2 , 2015 , 91
172 , 22.9068 , 43.1729 , South America , Mar , 3 , 2015 , 70
173 , 22.9068 , 43.1729 , South America , Mar , 4 , 2015 , 82
174 , 22.9068 , 43.1729 , South America , Mar , 5 , 2015 , 78
175 , 22.9068 , 43.1729 , South America , Mar , 6 , 2015 , 84
176 , 22.9068 , 43.1729 , South America , Mar , 7 , 2015 , 99
177 , 22.9068 , 43.1729 , South America , Mar , 8 , 2015 , 82
178 , 22.9068 , 43.1729 , South America , Mar , 9 , 2015 , 90
179 , 22.9068 , 43.1729 , South America , Mar , 10 , 2015 , 71
180 , 22.9068 , 43.1729 , South America , Mar , 11 , 2015 , 95
181 , 22.9068 , 43.1729 , South America , Mar , 12 , 2015 , 85
182 , 22.9068 , 43.1729 , South America , Mar , 13 , 2015 , 93
183 , 22.9068 , 43.1729 , South America , Mar , 14 , 2015 , 91
184 , 22.9068 , 43.1729 , South America , Mar , 15 , 2015 , 83
185 , 22.9068 , 43.1729 , South America , Mar , 16 , 2015 , 79
186 , 22.9068 , 43.1729 , South America , Mar , 17 , 2015 , 75
187 , 22.9068 , 43.1729 , South America , Mar , 18 , 2015 , 71
188 , 22.9068 , 43.1729 , South America , Mar , 19 , 2015 , 91
189 , 22.9068 , 43.1729 , South America , Mar , 20 , 2015 , 78
190 , 22.9068 , 43.1729 , South America , Mar , 21 , 2015 , 95
191 , 22.9068 , 43.1729 , South America , Mar , 22 , 2015 , 95
192 , 22.9068 , 43.1729 , South America , Mar , 23 , 2015 , 78
193 , 22.9068 , 43.1729 , South America , Mar , 24 , 2015 , 77
194 , 22.9068 , 43.1729 , South America , Mar , 25 , 2015 , 96
195 , 22.9068 , 43.1729 , South America , Mar , 26 , 2015 , 80
196 , 22.9068 , 43.1729 , South America , Mar , 27 , 2015 , 77
197 , 22.9068 , 43.1729 , South America , Mar , 28 , 2015 , 87
198 , 22.9068 , 43.1729 , South America , Mar , 29 , 2015 , 86
199 , 22.9068 , 43.1729 , South America , Mar , 30 , 2015 , 81
200 , 22.9068 , 43.1729 , South America , Mar , 31 , 2015 , 79
201 , 22.9068 , 43.1729 , South America , Apr , 1 , 2015 , 80
202 , 51.5074 , 0.1278 , Europe , Jan , 1 , 2014 , 91
203 , 51.5074 , 0.1278 , Europe , Jan , 2 , 2014 , 93
204 , 51.5074 , 0.1278 , Europe , Jan , 3 , 2014 , 70
205 , 51.5074 , 0.1278 , Europe , Jan , 4 , 2014 , 77
206 , 51.5074 , 0.1278 , Europe , Jan , 5 , 2014 , 73
207 , 51.5074 , 0.1278 , Europe , Jan , 6 , 2014 , 94
208 , 51.5074 , 0.1278 , Europe , Jan , 7 , 2014 , 83
209 , 51.5074 , 0.1278 , Europe , Jan , 8 , 2014 , 82
210 , 51.5074 , 0.1278 , Europe , Jan , 9 , 2014 , 71
211 , 51.5074 , 0.1278 , Europe , Jan , 10 , 2014 , 75
212 , 51.5074 , 0.1278 , Europe , Jan , 11 , 2014 , 70
213 , 51.5074 , 0.1278 , Europe , Jan , 12 , 2014 , 82
214 , 51.5074 , 0.1278 , Europe , Jan , 13 , 2014 , 71
215 , 51.5074 , 0.1278 , Europe , Jan , 14 , 2014 , 80
216 , 51.5074 , 0.1278 , Europe , Jan , 15 , 2014 , 93
217 , 51.5074 , 0.1278 , Europe , Jan , 16 , 2014 , 92
218 , 51.5074 , 0.1278 , Europe , Jan , 17 , 2014 , 88
219 , 51.5074 , 0.1278 , Europe , Jan , 18 , 2014 , 73
220 , 51.5074 , 0.1278 , Europe , Jan , 19 , 2014 , 99
221 , 51.5074 , 0.1278 , Europe , Jan , 20 , 2014 , 77
222 , 51.5074 , 0.1278 , Europe , Jan , 21 , 2014 , 94
223 , 51.5074 , 0.1278 , Europe , Jan , 22 , 2014 , 86
224 , 51.5074 , 0.1278 , Europe , Jan , 23 , 2014 , 95
225 , 51.5074 , 0.1278 , Europe , Jan , 24 , 2014 , 81
226 , 51.5074 , 0.1278 , Europe , Jan , 25 , 2014 , 72
227 , 51.5074 , 0.1278 , Europe , Jan , 26 , 2014 , 98
228 , 51.5074 , 0.1278 , Europe , Jan , 27 , 2014 , 82
229 , 51.5074 , 0.1278 , Europe , Jan , 28 , 2014 , 78
230 , 51.5074 , 0.1278 , Europe , Jan , 29 , 2014 , 82
231 , 51.5074 , 0.1278 , Europe , Jan , 30 , 2014 , 92
232 , 51.5074 , 0.1278 , Europe , Jan , 31 , 2014 , 86
233 , 51.5074 , 0.1278 , Europe , Feb , 1 , 2014 , 75
234 , 51.5074 , 0.1278 , Europe , Feb , 2 , 2014 , 92
235 , 51.5074 , 0.1278 , Europe , Feb , 3 , 2014 , 97
236 , 51.5074 , 0.1278 , Europe , Feb , 4 , 2014 , 72
237 , 51.5074 , 0.1278 , Europe , Feb , 5 , 2014 , 71
238 , 51.5074 , 0.1278 , Europe , Feb , 6 , 2014 , 90
239 , 51.5074 , 0.1278 , Europe , Feb , 7 , 2014 , 92
240 , 51.5074 , 0.1278 , Europe , Feb , 8 , 2014 , 75
241 , 51.5074 , 0.1278 , Europe , Feb , 9 , 2014 , 81
242 , 51.5074 , 0.1278 , Europe , Feb , 10 , 2014 , 70
243 , 51.5074 , 0.1278 , Europe , Feb , 11 , 2014 , 70
244 , 51.5074 , 0.1278 , Europe , Feb , 12 , 2014 , 91
245 , 51.5074 , 0.1278 , Europe , Feb , 13 , 2014 , 96
246 , 51.5074 , 0.1278 , Europe , Feb , 14 , 2014 , 96
247 , 51.5074 , 0.1278 , Europe , Feb , 15 , 2014 , 73
248 , 51.5074 , 0.1278 , Europe , Feb , 16 , 2014 , 99
249 , 51.5074 , 0.1278 , Europe , Feb , 17 , 2014 , 72
250 , 51.5074 , 0.1278 , Europe , Feb , 18 , 2014 , 90
251 , 51.5074 , 0.1278 , Europe , Feb , 19 , 2014 , 70
252 , 51.5074 , 0.1278 , Europe , Feb , 20 , 2014 , 85
253 , 51.5074 , 0.1278 , Europe , Feb , 21 , 2014 , 82
254 , 51.5074 , 0.1278 , Europe , Feb , 22 , 2014 , 76
255 , 51.5074 , 0.1278 , Europe , Feb , 23 , 2014 , 79
256 , 51.5074 , 0.1278 , Europe , Feb , 24 , 2014 , 100
257 , 51.5074 , 0.1278 , Europe , Feb , 25 , 2014 , 90
258 , 51.5074 , 0.1278 , Europe , Feb , 26 , 2014 , 97
259 , 51.5074 , 0.1278 , Europe , Feb , 27 , 2014 , 92
260 , 51.5074 , 0.1278 , Europe , Feb , 28 , 2014 , 89
261 , 51.5074 , 0.1278 , Europe , Feb , 29 , 2014 , 92
262 , 51.5074 , 0.1278 , Europe , Feb , 30 , 2014 , 79
263 , 51.5074 , 0.1278 , Europe , Feb , 31 , 2014 , 70
264 , 51.5074 , 0.1278 , Europe , Feb , 32 , 2014 , 86
265 , 51.5074 , 0.1278 , Europe , Feb , 33 , 2014 , 94
266 , 51.5074 , 0.1278 , Europe , Feb , 34 , 2014 , 70
267 , 51.5074 , 0.1278 , Europe , Feb , 35 , 2014 , 88
268 , 51.5074 , 0.1278 , Europe , Feb , 36 , 2014 , 88
269 , 51.5074 , 0.1278 , Europe , Feb , 37 , 2014 , 73
270 , 51.5074 , 0.1278 , Europe , Feb , 38 , 2014 , 72
271 , 51.5074 , 0.1278 , Europe , Mar , 1 , 2014 , 87
272 , 51.5074 , 0.1278 , Europe , Mar , 2 , 2014 , 73
273 , 51.5074 , 0.1278 , Europe , Mar , 3 , 2014 , 74
274 , 51.5074 , 0.1278 , Europe , Mar , 4 , 2014 , 79
275 , 51.5074 , 0.1278 , Europe , Mar , 5 , 2014 , 80
276 , 51.5074 , 0.1278 , Europe , Mar , 6 , 2014 , 84
277 , 51.5074 , 0.1278 , Europe , Mar , 7 , 2014 , 82
278 , 51.5074 , 0.1278 , Europe , Mar , 8 , 2014 , 83
279 , 51.5074 , 0.1278 , Europe , Mar , 9 , 2014 , 84
280 , 51.5074 , 0.1278 , Europe , Mar , 10 , 2014 , 89
281 , 51.5074 , 0.1278 , Europe , Mar , 11 , 2014 , 98
282 , 51.5074 , 0.1278 , Europe , Mar , 12 , 2014 , 79
283 , 51.5074 , 0.1278 , Europe , Mar , 13 , 2014 , 89
284 , 51.5074 , 0.1278 , Europe , Mar , 14 , 2014 , 73
285 , 51.5074 , 0.1278 , Europe , Mar , 15 , 2014 , 91
286 , 51.5074 , 0.1278 , Europe , Mar , 16 , 2014 , 72
287 , 51.5074 , 0.1278 , Europe , Mar , 17 , 2014 , 100
288 , 51.5074 , 0.1278 , Europe , Mar , 18 , 2014 , 71
289 , 51.5074 , 0.1278 , Europe , Mar , 19 , 2014 , 76
290 , 51.5074 , 0.1278 , Europe , Mar , 20 , 2014 , 78
291 , 51.5074 , 0.1278 , Europe , Mar , 21 , 2014 , 89
292 , 51.5074 , 0.1278 , Europe , Mar , 22 , 2014 , 81
293 , 51.5074 , 0.1278 , Europe , Mar , 23 , 2014 , 92
294 , 51.5074 , 0.1278 , Europe , Mar , 24 , 2014 , 82
295 , 51.5074 , 0.1278 , Europe , Mar , 25 , 2014 , 97
296 , 51.5074 , 0.1278 , Europe , Mar , 26 , 2014 , 97
297 , 51.5074 , 0.1278 , Europe , Mar , 27 , 2014 , 99
298 , 51.5074 , 0.1278 , Europe , Mar , 28 , 2014 , 93
299 , 51.5074 , 0.1278 , Europe , Mar , 29 , 2014 , 98
300 , 51.5074 , 0.1278 , Europe , Mar , 30 , 2014 , 91
301 , 51.5074 , 0.1278 , Europe , Mar , 31 , 2014 , 82
302 , 51.5074 , 0.1278 , Europe , Apr , 1 , 2014 , 78
