0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , -10
57 , 22.9068 , 43.1729 , South America , Jan , 8 , 2015 , 100
58 , 22.9068 , 43.1729 , South America , Jan , 9 , 2015 , 100
59 , 22.9068 , 43.1729 , South America , Jan , 10 , 2015 , 75
60 , 22.9068 , 43.1729 , South America , Jan , 11 , 2015 , 89
61 , 22.9068 , 43.1729 , South America , Jan , 12 , 2015 , 99
62 , 22.9068 , 43.1729 , South America , Jan , 13 , 2015 , 78
63 , 22.9068 , 43.1729 , South America , Jan , 14 , 2015 , 94
64 , 22.9068 , 43.1729 , South America , Jan , 15 , 2015 , 94
65 , 22.9068 , 43.1729 , South America , Jan , 16 , 2015 , 82
66 , 22.9068 , 43.1729 , South America , Jan , 17 , 2015 , 91
67 , 22.9068 , 43.1729 , South America , Jan , 18 , 2015 , 86
68 , 22.9068 , 43.1729 , South America , Jan , 19 , 2015 , 90
69 , 22.9068 , 43.1729 , South America , Jan , 20 , 2015 , 87
70 , 22.9068 , 43.1729 , South America , Jan , 21 , 2015 , 93
71 , 22.9068 , 43.1729 , South America , Jan , 22 , 2015 , 78
72 , 22.9068 , 43.1729 , South America , Jan , 23 , 2015 , 98
73 , 22.9068 , 43.1729 , South America , Jan , 24 , 2015 , 77
74 , 22.9068 , 43.1729 , South America , Jan , 25 , 2015 , 85
75 , 22.9068 , 43.1729 , South America , Jan , 26 , 2015 , 86
76 , 22.9068 , 43.1729 , South America , Jan , 27 , 2015 , 94
77 , 22.9068 , 43.1729 , South America , Jan , 28 , 2015 , 98
78 , 22.9068 , 43.1729 , South America , Jan , 29 , 2015 , 99
79 , 22.9068 , 43.1729 , South America , Jan , 30 , 2015 , 90
80 , 22.9068 , 43.1729 , South America , Jan , 31 , 2015 , 92
81 , 22.9068 , 43.1729 , South America , Feb , 1 , 2015 , 85
82 , 22.9068 , 43.1729 , South America , Feb , 2 , 2015 , 93
83 , 22.9068 , 43.1729 , South America , Feb , 3 , 2015 , 88
84 , 22.9068 , 43.1729 , South America , Feb , 4 , 2015 , 81
85 , 22.9068 , 43.1729 , South America , Feb , 5 , 2015 , 83
86 , 22.9068 , 43.1729 , South America , Feb , 6 , 2015 , 87
87 , 22.9068 , 43.1729 , South America , Feb , 7 , 2015 , 94
88 , 22.9068 , 43.1729 , South America , Feb , 8 , 2015 , 94
89 , 22.9068 , 43.1729 , South America , Feb , 9 , 2015 , 84
90 , 22.9068 , 43.1729 , South America , Feb , 10 , 2015 , 85
91 , 22.9068 , 43.1729 , South America , Feb , 11 , 2015 , 85
92 , 22.9068 , 43.1729 , South America , Feb , 12 , 2015 , 91
93 , 22.9068 , 43.1729 , South America , Feb , 13 , 2015 , 76
94 , 22.9068 , 43.1729 , South America , Feb , 14 , 2015 , 70
95 , 22.9068 , 43.1729 , South America , Feb , 15 , 2015 , 89
96 , 22.9068 , 43.1729 , South America , Feb , 16 , 2015 , 91
97 , 22.9068 , 43.1729 , South America , Feb , 17 , 2015 , 94
98 , 22.9068 , 43.1729 , South America , Feb , 18 , 2015 , 81
99 , 22.9068 , 43.1729 , South America , Feb , 19 , 2015 , 95
100 , 22.9068 , 43.1729 , South America , Feb , 20 , 2015 , 75
101 , 22.9068 , 43.1729 , South America , Feb , 21 , 2015 , 72
102 , 22.9068 , 43.1729 , South America , Feb , 22 , 2015 , 83
103 , 22.9068 , 43.1729 , South America , Feb , 23 , 2015 , 93
104 , 22.9068 , 43.1729 , South America , Feb , 24 , 2015 , 81
105 , 22.9068 , 43.1729 , South America , Feb , 25 , 2015 , 95
106 , 22.9068 , 43.1729 , South America , Feb , 26 , 2015 , 99
107 , 22.9068 , 43.1729 , South America , Feb , 27 , 2015 , 71
108 , 22.9068 , 43.1729 , South America , Feb , 28 , 2015 , 86
109 , 22.9068 , 43.1729 , South America , Feb , 29 , 2015 , 97
110 , 22.9068 , 43.1729 , South America , Feb , 30 , 2015 , 78
111 , 22.9068 , 43.1729 , South America , Feb , 31 , 2015 , 80
112 , 22.9068 , 43.1729 , South America , Feb , 32 , 2015 , 92
113 , 22.9068 , 43.1729 , South America , Feb , 33 , 2015 , 74
114 , 22.9068 , 43.1729 , South America , Feb , 34 , 2015 , 78
115 , 22.9068 , 43.1729 , South America , Feb , 35 , 2015 , 89
116 , 22.9068 , 43.1729 , South America , Feb , 36 , 2015 , 98
117 , 22.9068 , 43.1729 , South America , Feb , 37 , 2015 , 92
118 , 22.9068 , 43.1729 , South America , Feb , 38 , 2015 , 95
119 , 22.9068 , 43.1729 , South America , Mar , 1 , 2015 , 94
120 , 22.9068 , 43.1729 , South America , Mar , 2 , 2015 , 94
121 , 22.9068 , 43.1729 , South America , Mar , 3 , 2015 , 93
122 , 22.9068 , 43.1729 , South America , Mar , 4 , 2015 , 99
123 , 22.9068 , 43.1729 , South America , Mar , 5 , 2015 , 84
124 , 22.9068 , 43.1729 , South America , Mar , 6 , 2015 , 78
125 , 22.9068 , 43.1729 , South America , Mar , 7 , 2015 , 88
126 , 22.9068 , 43.1729 , South America , Mar , 8 , 2015 , 92
127 , 22.9068 , 43.1729 , South America , Mar , 9 , 2015 , 74
128 , 22.9068 , 43.1729 , South America , Mar , 10 , 2015 , 71
129 , 22.9068 , 43.1729 , South America , Mar , 11 , 2015 , 82
130 , 22.9068 , 43.1729 , South America , Mar , 12 , 2015 , 98
131 , 22.9068 , 43.1729 , South America , Mar , 13 , 2015 , 76
132 , 22.9068 , 43.1729 , South America , Mar , 14 , 2015 , 98
133 , 22.9068 , 43.1729 , South America , Mar , 15 , 2015 , 82
134 , 22.9068 , 43.1729 , South America , Mar , 16 , 2015 , 80
135 , 22.9068 , 43.1729 , South America , Mar , 17 , 2015 , 78
136 , 22.9068 , 43.1729 , South America , Mar , 18 , 2015 , 71
137 , 22.9068 , 43.1729 , South America , Mar , 19 , 2015 , 81
138 , 22.9068 , 43.1729 , South America , Mar , 20 , 2015 , 76
139 , 22.9068 , 43.1729 , South America , Mar , 21 , 2015 , 88
140 , 22.9068 , 43.1729 , South America , Mar , 22 , 2015 , 83
141 , 22.9068 , 43.1729 , South America , Mar , 23 , 2015 , 82
142 , 22.9068 , 43.1729 , South America , Mar , 24 , 2015 , 81
143 , 22.9068 , 43.1729 , South America , Mar , 25 , 2015 , 73
144 , 22.9068 , 43.1729 , South America , Mar , 26 , 2015 , 91
145 , 22.9068 , 43.1729 , South America , Mar , 27 , 2015 , 83
146 , 22.9068 , 43.1729 , South America , Mar , 28 , 2015 , 86
147 , 22.9068 , 43.1729 , South America , Mar , 29 , 2015 , 98
148 , 22.9068 , 43.1729 , South America , Mar , 30 , 2015 , 75
149 , 22.9068 , 43.1729 , South America , Mar , 31 , 2015 , 90
150 , 22.9068 , 43.1729 , South America , Apr , 1 , 2015 , 86
151 , 22.9068 , 43.1729 , South America , Apr , 2 , 2015 , 92
152 , 22.9068 , 43.1729 , South America , Apr , 3 , 2015 , 92
153 , 22.9068 , 43.1729 , South America , Apr , 4 , 2015 , 94
154 , 22.9068 , 43.1729 , South America , Apr , 5 , 2015 , 95
155 , 22.9068 , 43.1729 , South America , Apr , 6 , 2015 , 95
156 , 22.9068 , 43.1729 , South America , Apr , 7 , 2015 , 80
157 , 22.9068 , 43.1729 , South America , Apr , 8 , 2015 , 83
158 , 22.9068 , 43.1729 , South America , Apr , 9 , 2015 , 92
159 , 22.9068 , 43.1729 , South America , Apr , 10 , 2015 , 98
160 , 22.9068 , 43.1729 , South America , Apr , 11 , 2015 , 76
161 , 22.9068 , 43.1729 , South America , Apr , 12 , 2015 , 85
162 , 22.9068 , 43.1729 , South America , Apr , 13 , 2015 , 78
163 , 22.9068 , 43.1729 , South America , Apr , 14 , 2015 , 94
164 , 22.9068 , 43.1729 , South America , Apr , 15 , 2015 , 80
165 , 22.9068 , 43.1729 , South America , Apr , 16 , 2015 , 70
166 , 22.9068 , 43.1729 , South America , Apr , 17 , 2015 , 78
167 , 22.9068 , 43.1729 , South America , Apr , 18 , 2015 , 75
168 , 22.9068 , 43.1729 , South America , Apr , 19 , 2015 , 78
169 , 22.9068 , 43.1729 , South America , Apr , 20 , 2015 , 89
170 , 22.9068 , 43.1729 , South America , Apr , 21 , 2015 , 92
171 , 22.9068 , 43.1729 , South America , Apr , 22 , 2015 , 99
172 , 22.9068 , 43.1729 , South America , Apr , 23 , 2015 , 91
173 , 22.9068 , 43.1729 , South America , Apr , 24 , 2015 , 88
174 , 22.9068 , 43.1729 , South America , Apr , 25 , 2015 , 77
175 , 22.9068 , 43.1729 , South America , Apr , 26 , 2015 , 70
176 , 22.9068 , 43.1729 , South America , Apr , 27 , 2015 , 90
177 , 22.9068 , 43.1729 , South America , Apr , 28 , 2015 , 86
178 , 22.9068 , 43.1729 , South America , Apr , 29 , 2015 , 92
179 , 22.9068 , 43.1729 , South America , Apr , 30 , 2015 , 80
180 , 22.9068 , 43.1729 , South America , May , 1 , 2015 , 55
181 , 22.9068 , 43.1729 , South America , May , 2 , 2015 , 58
182 , 22.9068 , 43.1729 , South America , May , 3 , 2015 , 51
183 , 22.9068 , 43.1729 , South America , May , 4 , 2015 , 60
184 , 22.9068 , 43.1729 , South America , May , 5 , 2015 , 50
185 , 22.9068 , 43.1729 , South America , May , 6 , 2015 , 55
186 , 22.9068 , 43.1729 , South America , May , 7 , 2015 , 57
187 , 22.9068 , 43.1729 , South America , May , 8 , 2015 , 50
188 , 22.9068 , 43.1729 , South America , May , 9 , 2015 , 51
189 , 22.9068 , 43.1729 , South America , May , 10 , 2015 , 59
190 , 22.9068 , 43.1729 , South America , May , 11 , 2015 , 60
191 , 22.9068 , 43.1729 , South America , May , 12 , 2015 , 51
192 , 22.9068 , 43.1729 , South America , May , 13 , 2015 , 50
193 , 22.9068 , 43.1729 , South America , May , 14 , 2015 , 56
194 , 22.9068 , 43.1729 , South America , May , 15 , 2015 , 59
195 , 22.9068 , 43.1729 , South America , May , 16 , 2015 , 60
196 , 22.9068 , 43.1729 , South America , May , 17 , 2015 , 55
197 , 22.9068 , 43.1729 , South America , May , 18 , 2015 , 59
198 , 22.9068 , 43.1729 , South America , May , 19 , 2015 , 60
199 , 22.9068 , 43.1729 , South America , May , 20 , 2015 , 58
200 , 51.5074 , 0.1278 , Europe , Jan , 1 , 2014 , 73
201 , 51.5074 , 0.1278 , Europe , Jan , 2 , 2014 , 84
202 , 51.5074 , 0.1278 , Europe , Jan , 3 , 2014 , 80
203 , 51.5074 , 0.1278 , Europe , Jan , 4 , 2014 , 72
204 , 51.5074 , 0.1278 , Europe , Jan , 5 , 2014 , 99
205 , 51.5074 , 0.1278 , Europe , Jan , 6 , 2014 , 81
206 , 51.5074 , 0.1278 , Europe , Jan , 7 , 2014 , 97
207 , 51.5074 , 0.1278 , Europe , Jan , 8 , 2014 , 77
208 , 51.5074 , 0.1278 , Europe , Jan , 9 , 2014 , 94
209 , 51.5074 , 0.1278 , Europe , Jan , 10 , 2014 , 79
210 , 51.5074 , 0.1278 , Europe , Jan , 11 , 2014 , 93
211 , 51.5074 , 0.1278 , Europe , Jan , 12 , 2014 , 87
212 , 51.5074 , 0.1278 , Europe , Jan , 13 , 2014 , 75
213 , 51.5074 , 0.1278 , Europe , Jan , 14 , 2014 , 96
214 , 51.5074 , 0.1278 , Europe , Jan , 15 , 2014 , 81
215 , 51.5074 , 0.1278 , Europe , Jan , 16 , 2014 , 82
216 , 51.5074 , 0.1278 , Europe , Jan , 17 , 2014 , 77
217 , 51.5074 , 0.1278 , Europe , Jan , 18 , 2014 , 86
218 , 51.5074 , 0.1278 , Europe , Jan , 19 , 2014 , 75
219 , 51.5074 , 0.1278 , Europe , Jan , 20 , 2014 , 75
220 , 51.5074 , 0.1278 , Europe , Jan , 21 , 2014 , 99
221 , 51.5074 , 0.1278 , Europe , Jan , 22 , 2014 , 93
222 , 51.5074 , 0.1278 , Europe , Jan , 23 , 2014 , 75
223 , 51.5074 , 0.1278 , Europe , Jan , 24 , 2014 , 83
224 , 51.5074 , 0.1278 , Europe , Jan , 25 , 2014 , 80
225 , 51.5074 , 0.1278 , Europe , Jan , 26 , 2014 , 91
226 , 51.5074 , 0.1278 , Europe , Jan , 27 , 2014 , 87
227 , 51.5074 , 0.1278 , Europe , Jan , 28 , 2014 , 96
228 , 51.5074 , 0.1278 , Europe , Jan , 29 , 2014 , 93
229 , 51.5074 , 0.1278 , Europe , Jan , 30 , 2014 , 97
230 , 51.5074 , 0.1278 , Europe , Jan , 31 , 2014 , 88
231 , 51.5074 , 0.1278 , Europe , Feb , 1 , 2014 , 84
232 , 51.5074 , 0.1278 , Europe , Feb , 2 , 2014 , 94
233 , 51.5074 , 0.1278 , Europe , Feb , 3 , 2014 , 70
234 , 51.5074 , 0.1278 , Europe , Feb , 4 , 2014 , 87
235 , 51.5074 , 0.1278 , Europe , Feb , 5 , 2014 , 82
236 , 51.5074 , 0.1278 , Europe , Feb , 6 , 2014 , 72
237 , 51.5074 , 0.1278 , Europe , Feb , 7 , 2014 , 75
238 , 51.5074 , 0.1278 , Europe , Feb , 8 , 2014 , 94
239 , 51.5074 , 0.1278 , Europe , Feb , 9 , 2014 , 90
240 , 51.5074 , 0.1278 , Europe , Feb , 10 , 2014 , 96
241 , 51.5074 , 0.1278 , Europe , Feb , 11 , 2014 , 79
242 , 51.5074 , 0.1278 , Europe , Feb , 12 , 2014 , 77
243 , 51.5074 , 0.1278 , Europe , Feb , 13 , 2014 , 75
244 , 51.5074 , 0.1278 , Europe , Feb , 14 , 2014 , 85
245 , 51.5074 , 0.1278 , Europe , Feb , 15 , 2014 , 78
246 , 51.5074 , 0.1278 , Europe , Feb , 16 , 2014 , 96
247 , 51.5074 , 0.1278 , Europe , Feb , 17 , 2014 , 76
248 , 51.5074 , 0.1278 , Europe , Feb , 18 , 2014 , 88
249 , 51.5074 , 0.1278 , Europe , Feb , 19 , 2014 , 95
250 , 51.5074 , 0.1278 , Europe , Feb , 20 , 2014 , 84
251 , 51.5074 , 0.1278 , Europe , Feb , 21 , 2014 , 88
252 , 51.5074 , 0.1278 , Europe , Feb , 22 , 2014 , 100
253 , 51.5074 , 0.1278 , Europe , Feb , 23 , 2014 , 88
254 , 51.5074 , 0.1278 , Europe , Feb , 24 , 2014 , 74
255 , 51.5074 , 0.1278 , Europe , Feb , 25 , 2014 , 87
256 , 51.5074 , 0.1278 , Europe , Feb , 26 , 2014 , 89
257 , 51.5074 , 0.1278 , Europe , Feb , 27 , 2014 , 84
258 , 51.5074 , 0.1278 , Europe , Feb , 28 , 2014 , 77
259 , 51.5074 , 0.1278 , Europe , Feb , 29 , 2014 , 84
